A$AP Rocky,"A$AP Rocky was perched at the top of a three-story church pleading with the �Holy Ghost� as his millennial choir echoed his prayers back at him. The 26-year-old rapper from Harlem, New York might claim to have his own relationship with God, but it�s no secret that he also maintains his own cult. Those faithful followers were more than happy to �turn the fuck up� in order to provide Rocky with the energy he needed to get through his performance last night. He spoke about some mysterious �battle� when he performed at the Ogden Theater a few years ago, but he was fighting something different this time around; he was fighting the flu. Although it�s not uncommon to see someone puke at Red Rocks, usually that someone isn�t the headliner. Rocky is a fighter though. So when the sickness crept up on him, he just spit that shit out and continued on with his set. In fact, although it was a slightly abbreviated set, it was far superior to what I witnessed at the Ogden last time around. Flu symptoms aside, Rocky and the present members of his A$AP Mob have found their stage legs in the past few years. It might seem ridiculous to call A$AP Rocky a professional (he is the same guy who started brawling with the crowd at SXSW in 2012), but I think anyone who comes out and not only does their job, but does it in style (while deathly ill), is deserving of the denotation. I am getting ahead of myself here though, because before Rocky, there was Vince, Danny and Tyler� - See more at: http://ilistensoyoudonthaveto.com/2015/10/02/rocky-and-tyler-tour-red-rocks-09-30-15/#sthash.zNL1Rrye.dpuf "
A$AP Rocky,"Rakim Mayers, better known by is stage name of A$AP Rocky, is an American rapper and Hip Hop artist. A$AP Rocky, before he became the hip hop legend, suffered years of hardship whilst young and living in Harlem, New York. He reinvented himself and was rewarded for his hard work with a blooming career as a hip hop artist. A$AP Rocky is one member of the A$AP collective, a whole team of rappers and hip hop artists. Joining the A$AP mob launched Rocky�s career and gave him his chance to start over and reach for the stars. Rocky� struggles are evident in his voice when he raps, and by what he raps about. His music is incredibly raw and real, with deep emotion and pain. He is a breath of fresh air away from the normal rapper who mindlessly raps about �bitches� and �hoes�. The atmosphere at an A$AP gig is pure madness: everyone from ghetto to suburban kids turned up and people were going mental for the music. It was fun and exciting, the crowd dancing so hard that it had the air of a flash mob about it. Rocky took the mic for �Peso� and the crowd went wild, crowd surfing him as he rapped. It was a fantastic night all round. "
A$AP Rocky,"I went to see both A$AP Rocky and Wiz Khalifa at the Genting arena during their European tour. Me and a friend got there early enough to be stood two or three people from the front. The supporting acts were decent, Chevy Woods failed to get the crowd going as much as Wiz Khalifa did, however they succeeded in the purpose of getting the audience hyped. Wiz had the longer set and despite having a reputation for being one of the world's biggest stoners, he was lively and really succeeded in getting the crowd going. He sprayed champagne on me and my friend. I did not primarily come for Wiz however, I was more curious to see what A$AP had in store. He had the shorter set, which took a little while to get going as he stood behind some sort of curtain for a good ten minutes. However, when the show got into full swing Rocky and the Mob got the crowd jumping and at one point, moshing. I feel that A$AP could have maybe played a few more tracks as some of my favourites were missed. But overall, I would recommend anyone go and see them, as I had an amazing time! "
A$AP Rocky,"Rakim Mayers, otherwise known as ASAP Rocky became one of the most exciting new artists in US hip hop in 2013 when his debut album 'Long. Live. ASAP' topped the billboard chart and made waves all over Europe. A confident, high level of rap and hip hop earned the album critical acclaim and his status increased dramatically. Now the rapper has a crew and live show to support the credentials. From the opening beats of 'Long Live ASAP' the crowd are treated to a demonstration of world-class new hip hop. The setlist blends so well due to the frontman's ability to freestyle yet when he does break to appreciate the adoration, the response is huge from the audience. Big tracks such as 'Wild For The Night' receive massive cheers as the group perform this massive hip hop track with intensity. Most of the time, the frontman ends up crowd surfing following a huge performance of finale 'Fuckin' Problems' and this was no different as ASAP launches himself as the audience enthusiastically carry him around the venue whilst continuing to dance along. "
A$AP Rocky,"This show was so live! I am very satisfied with my purchase. Vince Staples opened & he killed it. I even more of a fan now, he is really one on the come up. Danny Brown performed next and OMFG he lit the crowd up. Mosh pits went off which doesn't bother me but I wish the people who choose to announce that whoever doesn't want to be by it get out of the way.. But it was lit. Rocky came out and performed JD which was dope as the first song he preformed. He played his new shit, some old. nearly all of the ASAP mob was there they preformed hella hoes which got everyone hypppeeeee af Flacko and Danny did 1 train which was a dream come true. They even played nirvana Everything about this show was such an amazing experience, great crowd too. Love these three together so happy they're on tour together "
A$AP Rocky,"The doors supposedly were supposed to open at 6:30. The show was listed as 8pm. The doors were not open until 9:15, while it was 10� outside. NOT COOL. I seriously couldnt feel my toes, fingers, my body was trembling through the first song! I arrived at 8 expecting the doors to be open, and tag in the back of the line. I was towards the front and still waited for an hour and a half to get in. Once inside tho I was amazed by the venue, (it was my first time to the armory) and rocky was just as beautiful as expected. Seriously cold tho, like might think twice the next time a show is at this venue. "
A$AP Rocky,"The concert was amazing when it started! The stage set ups and changes were all very exciting! But the delay of the concert and waiting in the freezing cold for 3 hours was not the greatest part, when I did dress in layers. The cold got unbearable I almost had to leave. I had to leave early and only saw 15 minutes of A$AP because the last train left st 12:45. Since it was so delayed and was more delayed in between acts I did not get to see much of my favorite artist. He is an inspiration and icon to me and I wish I could of stayed. Other then the delay and cold it was amazing while it lasted! "
A$AP Rocky,"Terminal 5 really screwed over the fans and most of us waiting about 3 hours in the freezing cold (below freezing temperature and wind) to get into the venue. So unfortunately that happened. Once there, the vibe was popping and there was such good energy all around. A$AP was a bit too amped, shall we say, to give his full set so he only ended up doing a couple songs with the Mob supporting. We only saw 1.5 hours of music which was disappointing but what I did get to see was awesome. "
A$AP Rocky,"A$AP Rocky is one of the best performers I have seen!! He puts on an astounding show and you are able to see how much time and effort went into it. Every piece during the show was put together well and incorporated the theme in every aspect onstage. I also loved the fact he played his favorite songs by other artists and even BROUGHT THEM OUT, such as Tyga and Drake. A$AP Rocky's concert was a great experience and I highly recommend going to one if he comes to a city near you. "
A$AP Rocky,"Unfortunately our A$AP experience was poor because of Terminal 5 and other factors. We had to wait over 1 hour and a half in 6 degree weather due to reasons that were never explained to us. A$AP and his boys only come on for 20 minutes - midnight curfew. Those 20 minutes were dope and rowdy, but what a shame. "
